German,English,Frequency
rauskommt,comes out,1606
old,old,1606
angestellten,salaried,1605
datum,date,1605
bezug,reference,1605
kerzen,candles,1605
lawrence,lawrence,1604
marsch,march,1604
benötigt,needed,1603
ermittlung,detection,1603
lagen,lay,1603
unbekannt,unknown,1603
gefressen,eaten,1603
brett,board,1603
manieren,manners,1602
han,han,1602
enthält,contains,1601
anfing,started,1601
kümmerst,take care,1601
berühmte,famous,1600
schwieriger,more difficult,1599
piloten,pilots,1598
scherze,joking,1598
anfängt,begins,1597
läufst,'re running,1597
bekannten,known,1597
rasen,race,1596
empfehlen,recommend,1596
härter,harder,1596
geweckt,aroused,1595
befördert,promoted,1595
reiter,equestrian,1595
empfinden,feel,1595
j,j,1595
bereite,ready,1595
täte,would do,1594
benutzte,used,1594
halloween,Halloween,1594
abgesagt,called off,1594
down,down,1594
quasi,so to say,1593
kocht,cooks,1593
reingekommen,came in,1593
hupen,honk,1592
hinunter,down,1592
vorüber,past,1591
ausdrücken,express,1590
reese,reese,1589
elliot,elliot,1589
perfekten,perfect,1588
folgte,followed,1588
rebellen,rebels,1588
di,di,1588
hauptsächlich,mainly,1587
schuppen,scale,1587
braver,brave,1587
neill,neill,1587
zwanzig,twenty,1587
berichtet,reported,1586
einrichtung,Facility,1586
november,November,1586
sensoren,sensors,1585
korrigiert,corrected,1585
houston,houston,1584
richie,richie,1583
verdächtig,suspicious,1583
legst,put,1583
aufgebracht,upset,1582
alternative,alternative,1582
experte,expert,1582
ferne,distance,1581
prinzip,principle,1581
holte,took,1581
richte,judge,1579
donald,donald,1579
weisen,point,1579
ozean,ocean,1578
gelungen,successful,1578
natalie,natalie,1578
esther,esther,1577
abschaum,scum,1577
stevie,stevie,1577
überwacht,supervised,1576
schwierige,difficult,1576
ausgedrückt,expressed,1576
hastings,hastings,1576
notruf,emergency call,1575
riss,crack,1575
bremsen,slow down,1575
häufig,frequently,1574
aktivieren,activate,1574
lloyd,lloyd,1574
anstrengend,exhausting,1573
antwortet,responds,1573
ais,ais,1573
verschwörung,conspiracy,1573
kellner,Waiter,1572
startet,starts,1572
franklin,Franklin,1572
andermal,some other time,1571
humphrey,humphrey,1570
evan,evan,1570
lkw,truck,1570
erhält,receives,1569
schmeißt,throw,1569
fürst,Prince,1569
carson,carson,1568
perry,perry,1567
küsse,kissing,1566
gebet,prayer,1566
miranda,miranda,1565
melancholische,melancholy,1565
räume,rooms,1565
riskiert,risks,1565
verhindert,prevented,1564
ausrede,excuse,1564
darling,Darling,1563
tüte,bag,1563
manhattan,Manhattan,1563
operiert,surgery,1562
unfassbar,incomprehensible,1562
herrin,mistress,1561
hergestellt,produced,1561
lila,purple,1560
gerichtet,directional,1560
fordern,demand,1559
fischen,fishing,1559
kriminelle,criminal,1558
jenem,that,1558
verschafft,provides,1558
dezember,December,1558
anspruch,claim,1558
räuspert,clears throat,1558
sid,sid,1557
unsichtbar,invisible,1557
keith,keith,1557
seth,seth,1557
ersetzt,replaced,1557
ruby,ruby,1557
handtuch,towel,1556
yang,yang,1556
dale,dale,1556
blödes,stupid,1555
doof,stupid,1555
wertvoll,valuable,1555
kardinal,cardinal,1555
jefferson,jefferson,1555
kommunikation,communication,1554
operieren,operate,1554
problemen,problems,1554
aliens,aliens,1554
cameron,cameron,1554
erik,erik,1554
erkannte,recognized,1554
river,river,1553
loszuwerden,get rid of,1552
unnötig,unnecessary,1552
begleite,accompany,1552
analyse,analysis,1551
hochzeitstag,wedding day,1550
melodie,melody,1550
wehren,fight,1550
pablo,pablo,1549
romantische,romantic,1549
zurückrufen,call back,1549
rente,pension,1548
zeremonie,ceremony,1548
platte,plate,1548
now,now,1547
ersatz,replacement,1547
mütze,Cap,1547
veränderungen,changes,1547
zeugin,honor,1546
rührt,stirs,1546
versichert,insured,1545
teilt,Splits,1545
russisch,Russian,1544
wundervolle,wonderful,1544
willy,willy,1544
wiederhören,hear again,1544
passagiere,passengers,1543
diebe,thieves,1542
guckst,guckst,1542
fließt,flows,1541
elend,misery,1540
andauernd,constantly,1540
nicky,nicky,1540
ungeheuer,enormous,1540
fit,fit,1540
zeitverschwendung,waste of time,1539
ansicht,view,1539
gefährliche,dangerous,1539
bell,bell,1539
vierte,fourth,1539
verbrachte,spent,1538
zentimeter,centimeter,1538
trete,kick,1537
politische,political,1537
interessen,Interests,1537
anlage,investment,1537
anderson,anderson,1536
autounfall,car accident,1536
gefangener,Prisoner,1536
aufstand,revolt,1535
schafe,sheep,1535
absolute,absolute,1535
kontakte,contacts,1534
trip,trip,1533
notizen,notes,1533
ausgegeben,output,1533
versorgt,provided,1531
gnaden,gnaden,1531
piraten,pirates,1529
eli,eli,1529
stuart,stuart,1529
sowohl,either,1529
muskeln,muscles,1529
unwahrscheinlich,unlikely,1528
steak,steak,1528
japaner,Japanese,1526
spritze,syringe,1526
there,there,1526
fesseln,tie up,1526
umarmen,embrace,1525
loser,loose,1525
begleitet,accompanied,1524
früheren,earlier,1523
ally,ally,1523
wacht,watching,1523
morden,murder,1523
eingefallen,sunken,1523
fox,fox,1523
schneide,cutting edge,1522
weiten,widen,1522
times,x,1521
musiker,Musician,1521
reichweite,Range,1520
hood,hood,1520
maya,Maya,1520
handys,mobile phones,1519
öffentlichen,public,1519
beleidigen,offend,1518
russischen,Russian,1518
gabriel,gabriel,1518
glenn,glenn,1518
erschien,appeared,1518
romeo,romeo,1517
wünsch,wish,1517
schach,chess,1516
explodieren,explode,1516
kater,Male cat,1515
wundern,surprise,1515
französischen,French,1515
thompson,thompson,1515
habs,habs,1514
beeinflussen,influence,1514
heult,howls,1514
hinfahren,drive to,1514
bedingung,condition,1514
empfinde,feel,1514
top,Top,1513
gemocht,liked,1513
heran,zoom,1513
stella,stella,1513
ärgern,to annoy,1513
klingst,klingst,1512
konkurrenz,competitor,1512
erfordert,requires,1512
mädchens,girl,1511
unsicher,uncertain,1511
festung,fortress,1511
runden,round,1510
detektiv,detective,1509
pastor,pastor,1509
kratzer,scratch,1509
junges,young,1507
melissa,melissa,1507
gruselig,creepy,1507
flugzeuge,aircraft,1507
durchgeführt,carried out,1507
intelligenz,intelligence,1506
stieg,rose,1506
zugestimmt,approved,1506
mutti,mom,1506
genieße,enjoy,1506
schützt,protects,1506
rückzug,retreat,1506
konzentriert,concentrated,1506
schäme,ashamed,1505
reserviert,reserved,1504
goldenen,golden,1504
bude,booth,1504
metall,metal,1504
kane,kane,1502
jacques,jacques,1502
nüchtern,sober,1502
absichten,intentions,1501
south,south,1501
handschuhe,gloves,1500
erschießt,shoots,1500
arrangiert,arranges,1500
verwundet,wounded,1499
debbie,debbie,1498
bates,bates,1498
anfühlt,feels,1498
drückt,presses,1498
absagen,cancel,1498
behalt,reserves,1498
einiger,some,1497
russische,Russian,1497
beeindrucken,impress,1497
düstere,gloomy,1496
geschäftlich,business,1496
egoistisch,selfish,1496
mario,Mario,1496
rocky,rocky,1496
ranch,ranch,1495
pat,pat,1495
gerücht,rumor,1494
jen,jen,1494
temperatur,temperature,1494
weggenommen,taken away,1493
tickets,tickets,1492
li,li,1492
ablenken,distract,1492
verletzung,injury,1492
anwesend,present,1492
umlegen,tilt,1492
einfachen,easy,1491
gehorchen,to obey,1490
gemalt,painted,1490
duncan,duncan,1489
räuber,robber,1489
adler,Eagle,1488
süßigkeiten,Sweets,1488
lunge,lung,1487
zurückziehen,withdraw,1487
wyatt,wyatt,1486
sonnenuntergang,sunset,1486
oper,Opera,1485
agentur,Agency,1484
kühe,cows,1484
aufräumen,to clean up,1484
krach,crash,1484
sharon,sharon,1484
ablehnen,reject,1483
graham,graham,1483
pfeil,arrow,1483
unbekannte,unknown,1483
aussprechen,pronounce,1483
route,route,1482
emotional,emotionally,1482
belästigen,bother,1482
kälte,cold,1482
sektor,sector,1482
blockiert,blocked,1481
öffentliche,public,1481
schweden,Sweden,1481
gates,gates,1481
häuptling,chief,1480
märz,March,1480
nummern,numbers,1480
dar,is,1479
irrst,wrong,1479
leite,leite,1479
frosch,frog,1478
vorübergehend,temporarily,1478
büchern,books,1478
mick,mick,1477
miese,lousy,1477
anfangs,at first,1476
verwandt,related,1476
gefährdet,endangered,1475
cola,cola,1475
falscher,counterfeiter,1475
kara,kara,1475
verängstigt,frightened,1474
quellen,swell,1474
republik,republic,1474
f,f,1474
us,us,1474
silber,silver,1474
aß,ate,1474
umschlag,envelope,1473
freust,looking forward,1472
hinsicht,respect,1472
ereignis,event,1472
beschissene,fucking,1472
vergraben,bury,1471
gebunden,bound,1471
marion,marion,1471
ente,duck,1471
gläser,glasses,1470
kommentar,comment,1470
doppelte,duplicate,1470
boris,boris,1469
sanfte,litter,1469
gibbs,gibbs,1469
lola,lola,1469
buck,buck,1469
zivilisation,civilization,1469
tiefen,deep,1469
reicher,rich,1468
verhaftung,arrest,1468
meldung,report,1468
bohnen,beans,1468
pfeifen,Pipes,1465
hall,hall,1465
leon,leon,1465
raketen,rocketry,1465
gutem,good,1464
versetzen,offset,1464
ziege,goat,1464
löwe,lion,1463
cat,cat,1463
central,central,1463
tötest,kill,1463
pierce,pierce,1463
privatsphäre,privacy,1463
j.,j.,1463
büßen,atone,1463
kalten,cold,1462
eid,oath,1461
burschen,burschen,1461
zweit,second,1461
unterscheiden,distinguish,1461
gerechnet,expected,1461
telegramm,telegram,1460
sprecht,speak,1460
babysitter,baby-sitter,1460
pfad,path,1460
getanzt,danced,1459
mafia,mafia,1459
verteidigt,defended,1458
abschalten,switch off,1458
wellen,waves,1458
besoffen,smashed,1458
diensten,services,1458
abschließen,to lock,1457
angehalten,required,1456
doyle,doyle,1455
assistent,assistant,1454
ketten,chain,1454
reist,traveling,1454
merkst,notice,1453
bot,offered,1453
gwen,gwen,1453
inwiefern,in what way,1452
pille,pill,1452
bock,buck,1452
korb,basket,1452
herrschaften,reigns,1452
en,s,1451
bedauern,regret,1451
angefasst,touched,1451
heißer,hot,1451
aufrichtig,sincerely,1450
conrad,conrad,1450
versorgen,supply,1450
sperren,lock,1450
naiv,naive,1449
mauern,stonewall,1449
hugo,Hugo,1448
erweisen,prove,1448
zurücklassen,leave behind,1448
samurai,samurai,1447
hoffnungen,hopes,1447
feststellen,determine,1447
finch,finch,1446
mandanten,client,1446
quartier,quarters,1446
philippe,philippe,1445
neidisch,envious,1445
alicia,alicia,1445
chips,crisps,1445
zugelassen,authorized,1444
weibliche,female,1443
schlauer,smarter,1443
vorwürfe,accusations,1443
aushalten,withstand,1443
einschlafen,fall asleep,1443
transport,transport,1442
laptop,Laptop,1442
arrangieren,arrange,1442
städte,cities,1441
vorzustellen,present,1441
unterm,under the,1440
flash,flash,1440
u-bahn,Subway,1440
status,status,1440
bond,bond,1440
stephanie,stephanie,1440
zweifellos,undoubtedly,1440
rückwärts,backward,1439
chffff00,chffff00,1439
skandal,scandal,1439
angebracht,appropriate,1439
pressen,press,1439
tschuldigung,Sorry,1438
papierkram,paperwork,1438
trat,joined,1438
gemeinschaft,community,1438
instinkt,instinct,1438
flitterwochen,honeymoon,1437
narbe,scar,1437
kombination,combination,1437
vorgesetzten,superiors,1437
ausprobieren,try out,1437
solcher,such,1436
sexuelle,sexual,1436
geliebter,beloved,1436
julien,julien,1436
lauren,lauren,1436
ignoriert,ignored,1436
leslie,leslie,1436
zogen,pulled,1435
zahnarzt,dentist,1435
gelitten,suffered,1435
zutritt,access,1434
vergewaltigung,rape,1434
drehe,turn,1434
ertrage,bear,1433
andern,to change,1432
streich,Prank,1432
kichert,giggles,1432
sternenflotte,starfleet,1431
kreaturen,creatures,1431
reif,ripe,1430
übermorgen,day after tomorrow,1430
dicker,thick,1429
got,got,1429
nest,nest,1429
but,but,1429
angerichtet,done,1429
verklagen,Sue,1429
helm,helmet,1428
bingo,bingo,1428
vergleichen,to compare,1428
schweiz,Switzerland,1428
bemerken,to notice,1428
herbst,autumn,1427
meredith,meredith,1427
zurückholen,get back,1427
nazis,nazis,1427
stamm,tribe,1427
auswahl,selection,1427
braves,braves,1427
sichergehen,play it safe,1426
antreten,compete,1426
lester,lester,1426
vorstand,Board,1426
sdi,sDI,1425
robbie,robbie,1425
organisieren,to organize,1425
tank,tank,1424
let,let,1424
besprechung,meeting,1424
studium,Education,1423
gossip,gossip,1423
kreditkarte,Credit card,1423
schwuchtel,queen,1423
profil,profile,1423
donner,thunder,1423
drake,drake,1422
schrecken,scare,1422
stall,barn,1422
saßen,sat,1422
quitt,quits,1422
hotels,hotels,1421
respektiere,respect,1420
kandidaten,candidates,1420
schulen,schools,1419
crane,crane,1419
geschäftsmann,businessman,1418
arnold,arnold,1417
läutet,rings,1417
lachst,laughing,1417
champion,champion,1417
unverständlich,incomprehensible,1416
ermorden,to murder,1416
betracht,consideration,1415
schadet,harm,1415
fester,solid,1415
aah,aah,1414
rühren,stir,1414
geregelt,controlled,1413
unterbrochen,interrupted,1413
angesicht,face,1413
kriminellen,criminal,1413
when,When,1413
helena,helena,1413
einzelheiten,details,1412
anlügen,lie to,1412
beschütze,protect,1412
stattfinden,occur,1412
dads,dads,1412
fortschritt,progress,1412
gelingt,succeed,1411
feierabend,end of working day,1411
feste,firm,1411
burger,burger,1410
spannend,exciting,1410
deputy,deputy,1409
einnehmen,take in,1409
schalte,switch,1409
passwort,password,1408
würstchen,hot dog,1408
mittlerweile,meanwhile,1407
aufzugeben,give up,1407
führst,threading tail,1406
harper,harper,1406
zivilisten,civilians,1406
ewige,everlasting,1406
emotionen,emotions,1406
beurteilen,judge,1405
käufer,buyer,1405
stars,stars,1404
erwachsenen,adult,1404
division,division,1404
aufzunehmen,take,1404
booth,booth,1404
werft,shipyard,1403
ältere,elder,1403
banken,banks,1403
kätzchen,kitten,1403
option,option,1402
heiratest,marry,1402
rettete,saved,1402
aufstellen,put up,1402
husten,to cough,1402
schublade,drawer,1401
gestürzt,overthrown,1401
seattle,Seattle,1401
ankommt,arrives,1400
befragt,questioned,1400
buchstaben,letters,1400
spielten,played,1399
gestiegen,gone up,1399
abgefahren,worn,1399
gewaschen,washed,1399
anzunehmen,to accept,1399
rob,rob,1398
anzahl,number,1398
zombies,zombies,1397
have,have,1397
anhänger,pendant,1397
gewisser,some,1396
vorkommen,occurrence,1396
festnehmen,arrest,1396
willow,willow,1396
medizinischen,medical,1395
kern,core,1394
offene,open,1393
gefeiert,celebrated,1393
anschließen,connect,1393
rico,rico,1393
clarke,clarke,1392
erfindung,invention,1392
besserer,better,1392
autopsie,autopsy,1392
rucksack,backpack,1391
zwingt,forces,1391
gnädige,gracious,1391
einsamkeit,lonliness,1391
gesprungen,bound,1391
t-shirt,T-shirt,1390
geopfert,sacrificed,1390
lena,lena,1390
beiseite,aside,1390
umgekehrt,vice versa,1389
geschworenen,jury,1389
draussen,outside,1389
ausgesprochen,pronounced,1389
beseitigen,remove,1388
burg,Castle,1387
ausführen,To run,1387
gesperrt,blocked,1387
carla,carla,1387
irrer,irrer,1387
drehte,turned,1387
ersparen,save,1387
force,force,1386
frech,naughty,1386
einziehen,move in,1385
kira,kira,1385
hot,hot,1385
genehmigung,approval,1385
tankstelle,Gas station,1385
versteckte,hidden,1385
interessanter,more interesting,1385
schneider,cutter,1385
gelb,yellow,1385
et,et,1383
gefährden,threaten,1383
handtasche,purse,1383
urteilen,to judge,1383
erhöht,elevated,1382
preise,Prices,1382
bumm,bumm,1382
unbekannten,unknown,1382
gelten,be valid,1381
life,life,1381
butler,butler,1380
möglichst,preferably,1380
münze,coin,1380
singe,sing,1379
saison,season,1379
andrea,andrea,1379
partnerin,partnerin,1379
haltung,attitude,1379
vollidiot,dumbass,1379
fasst,summarizes,1379
winston,Winston,1379
minus,minus,1379
pflichten,obligations,1379
spar,saving,1378
demselben,the same,1378
ruhestand,retirement,1378
versteckst,hide,1377
kai,quay,1377
bewachen,guard,1375
oz,oz,1375
vera,vera,1375
anhörung,hearing,1375
lieder,Songs,1374
miguel,miguel,1374
dreckig,dirty,1374
verbreiten,spread,1374
wei,wei,1374
sch,sch,1374
carmen,carmen,1373
first,ridge,1373
schenke,Donate,1373
wölfe,wolves,1373
erholen,recover,1373
bedenkt,considering,1372
blutet,bleeds,1372
freddie,freddie,1371
beschweren,complain,1371
schmeiß,throw,1371
gauner,rogue,1371
verursachen,cause,1371
elvis,elvis,1370
produkt,product,1370
cathy,Cathy,1370
tafel,blackboard,1369
kacke,shit,1369
versammelt,gathered,1369
sandra,sandra,1368
regelmäßig,regularly,1368
geschrei,shouting,1368
ruder,rudder,1367
allah,Allah,1367
vollen,full,1367
aktivitäten,activities,1367
wohnte,lived,1367
kaninchen,Rabbits,1367
systeme,systems,1367
orange,orange,1367
platten,plates,1367
rex,rex,1366
y,y,1366
geliehen,lent,1365
befolgen,follow,1365
belästigt,molested,1365
hongkong,Hong Kong,1365
zombie,zombie,1364
vorgeht,going,1364
heißes,hot,1364
überprüfe,check,1364
veröffentlicht,released,1363
erschieß,shoot,1362
mahlzeit,enjoy the meal,1362
offizielle,official,1362
yorker,yorker,1362
angie,angie,1362
aufbrechen,set out,1361
überlasse,leave,1361
get,get,1361
kenntnis,knowledge,1361
beschissenen,shitty,1361
trevor,trevor,1361
verbindet,combines,1360
sanitäter,paramedic,1360
überraschend,surprised,1360
geantwortet,answered,1359
droht,threatens,1359
italienisch,Italian,1358
verhör,interrogation,1358
größeres,larger,1357
klagen,complain,1357
dichter,poet,1357
großartiger,great,1357
gratis,free,1356
fürchtet,fears,1356
abzuholen,pick,1356
gefühlen,emotions,1355
beschäftigen,employ,1355
unglaubliche,unbelievable,1355
selbe,same,1355
barnes,barnes,1354
spürt,feels,1354
funkgerät,radio set,1354
abgegeben,submitted,1353
laurel,laurel,1353
angemessen,reasonable,1353
ohnehin,anyway,1352
chinesisch,Chinese,1352
orden,medal,1351
angeheuert,hired,1351
wählt,elects,1351
lustige,funny,1350
abhängen,depend,1350
vierten,fourth,1350
tanner,tanner,1350
schläge,beating,1349
zögern,hesitate,1349
bezeichnen,describe,1349
seltsames,strange,1349
beruflich,professional,1348
un,U.N,1348
bedeckt,covered,1348
anzufangen,to begin,1348
geraucht,smoked,1347
töteten,killing,1347
begeben,go,1346
verständlich,understandable,1345
pop,pop,1345
merkte,noted,1345
infektion,infection,1345
kitty,kitty,1345
entspricht,corresponds to,1344
winkel,angle,1344
experten,Experts,1344
betten,beds,1344
boxen,fight,1344
torte,cake,1343
austausch,exchange,1343
aufregen,upset,1343
vermuten,suspect,1343
geheimdienst,intelligence,1343
schlangen,snakes,1342
erholt,recovered,1342
zach,zach,1342
überzeugend,convincingly,1341
prue,prue,1341
genick,neck,1340
wuchs,growth,1340
autorität,authority,1340
schinken,ham,1340
wien,Vienna,1340
langes,long,1339
sookie,sookie,1339
zoey,zoey,1339
fetten,grease,1339
hai,shark,1338
binden,tie,1338
erpressung,blackmail,1338
derzeit,currently,1338
getäuscht,deceived,1338
buddy,buddy,1338
keines,none,1337
sammlung,collection,1337
anruft,calling,1337
tauchte,appeared,1337
weist,has,1337
ergreifen,grab,1337
frohes,Happy,1337
hänge,hang,1337
bewohner,resident,1337
entschied,decided,1336
supermarkt,Supermarket,1336
offiziere,officers,1336
verwandte,relative,1336
schwachkopf,Moron,1335
antoine,antoine,1334
irak,Iraq,1334
rangehen,get stuck in,1334
naomi,naomi,1333
kündigen,cancel,1333
geldes,disposable,1333
dealer,dealer,1333
könige,kings,1333
army,army,1332
januar,January,1332
agnes,agnes,1332
priorität,priority,1332
beförderung,promotion,1332
kranke,patient,1332
eifersucht,jealousy,1332
way,way,1332
heutige,today,1331
sprang,leapt,1331
kürze,shortness,1331
polen,Poland,1330
erbärmlich,pitifully,1330
erfasst,detected,1330
besonderer,special,1330
good,good,1330
geräte,equipment,1330
tanze,dance,1330
königliche,Royal,1330
durchmachen,go through,1329
dallas,dallas,1328
verschwendet,wasted,1328
kennedy,kennedy,1328
uld,uld,1327
alec,alec,1326
akzeptiere,accept,1326
ausgeschaltet,switched off,1326
ufer,shore,1326
risiken,risks,1326
schrie,cried,1326
beeinflusst,affected,1325
hal,hal,1325
aussiehst,looks,1325
ausgebildet,educated,1324
bezirk,district,1324
herrje,goodness gracious,1324
beauftragt,instructed,1324
geschützt,protected,1324
abgeschnitten,isolated,1324
qualität,quality,1323
henker,hangman,1323
ausgezogen,moved out,1323
versichern,assure,1323
gewinnst,win,1322
navy,navy,1322
schmidt,schmidt,1322
beschloss,decided,1322
batman,batman,1321
sun,sun,1321
kapierst,kapierst,1321
scheibe,disc,1321
veronica,veronica,1321
rosie,rosie,1320
pedro,pedro,1320
konferenz,conference,1320
länder,countries,1320
flecken,stains,1319
fur,For,1319
neal,neal,1319
sonnenaufgang,sunrise,1319
reed,reed,1319
braun,brown,1317
diagnose,diagnosis,1317
paranoid,paranoid,1317
weltraum,space,1317
adams,adams,1316
vorbild,Idol,1316
halle,Hall,1315
wandern,hike,1314
fisher,fisher,1314
frost,frost,1314
gehandelt,traded,1314
hawaii,Hawaii,1314
kabine,cabin,1313
chefin,boss,1313
porter,porter,1313
römer,Roman,1313
weinst,cry,1312
bäumen,trees,1312
simpson,simpson,1311
datenbank,Database,1310
suchten,sought,1310
gesegnet,blessed,1310
teilnehmen,take part,1308
umbringt,kill,1308
claude,claude,1308
blonde,blonde,1307
bunker,bunker,1307
mieser,lousy,1307
löffel,spoon,1307
geteilt,divided,1307
klaren,clear,1307
bree,bree,1306
abhängig,dependent,1305
überlebenden,surviving,1305
worf,worf,1305
geeignet,suitable,1305
hindern,prevent,1305
fahrstuhl,elevator,1305
ausgeht,goes out,1304
mylady,milady,1304
flagge,flag,1304
komplette,complete,1304
hing,hung,1304
italiener,Italian,1304
disziplin,discipline,1304
erzogen,behaved,1304
harvard,Harvard,1303
kongress,congress,1303
eingezogen,moved in,1303
kurzer,short,1303
schirm,umbrella,1303
merlin,merlin,1302
charme,charm,1302
vorlesen,read out,1301
gefährlicher,dangerous,1301
mitfahren,ride,1299
maurice,maurice,1299
anzeigen,Show,1299
d.,d.,1298
schieb,donating,1297
empfindlich,sensitive,1297
parken,park,1297
koche,cook,1296
gestrichen,painted,1296
berühmten,famous,1296
manchen,some,1296
klopf,knocking,1294
zorro,zorro,1294
reichlich,plentiful,1294
lügnerin,liar,1293
mode,Fashion,1293
songs,songs,1293
breche,break,1293
ausgeraubt,robbed,1292
hahn,tap,1292
wußte,knew,1292
krachen,crash,1292
spürte,felt,1292
versammlung,Assembly,1292
folter,torture,1292
speck,bacon,1292
bedrohliche,threatening,1291
piept,beeps,1291
verbreitet,common,1290
nolan,nolan,1290
tore,Gates,1290
t.,t.,1290
vorräte,Stocks,1289
saal,room,1289
wirtschaft,economy,1289
fremd,strange,1289
mehrmals,multiple times,1288
generationen,generations,1288
coole,cool,1288
kaufst,buy,1287
abbrechen,abort,1286
seife,Soap,1286
herde,herd,1286
zwerg,dwarf,1286
brandon,brandon,1285
z.b.,for example,1285
neffen,nephew,1284
festgehalten,arrested,1284
ablenkung,deflection,1284
totale,total,1284
herrscher,Ruler,1284
überstehen,survive,1284
sprengstoff,explosive,1283
mikey,mikey,1283
erdbeben,earthquake,1283
level,level,1283
australien,Australia,1283
figuren,characters,1282
älteren,older,1282
lynn,lynn,1282
po,po,1281
theo,theo,1281
spinnt,weaves,1281
gleichgewicht,balance,1280
schalter,counter,1280
kumpels,boys,1280
zuneigung,affection,1279
rollstuhl,wheelchair,1279
bienen,bees,1279
mischen,Mix,1279
hauptstadt,Capital,1279
koks,coke,1279
piepen,bleep,1278
langem,long,1278
umsehen,look around,1278
gelegen,located,1278
em,em,1277
banditen,bandits,1277
hasste,hated,1277
getestet,tested,1277
camille,camille,1277
brody,brody,1277
dosis,dose,1277
glaubten,believed,1277
somit,Consequently,1276
ernähren,feed,1276
hacken,chop,1276
kammer,chamber,1276
lenny,lenny,1275
roll,rolling,1275
bezaubernd,enchanting,1275
wiederholt,repeated,1274
zueinander,to each other,1274
tattoo,tattoo,1274
melanie,melanie,1274
einschließlich,including,1273
randall,randall,1273
finsternis,darkness,1273
wallace,wallace,1272
betrachte,consider,1272
schmerzt,hurts,1272
gelehrt,taught,1271
gewechselt,changed,1271
menschliches,human,1271
redete,spake,1271
frühen,early,1271
voyager,voyager,1271
caleb,caleb,1271
entdeckte,discovered,1271
wirkte,worked,1271
versprichst,promise,1271
scheine,seems,1270
transporter,transporter,1270
n.,n.,1270
moderne,modern,1269
elijah,elijah,1269
wilder,wild,1269
abgelenkt,distracted,1269
abzug,deduction,1269
north,north,1268
becher,cups,1268
sicherstellen,to ensure,1267
e.,e.,1267
anweisung,instructions,1266
klettern,climb,1266
fingern,fumble,1266
geste,gesture,1266
spürst,feel,1266
privatleben,privacy,1266
zusammenarbeit,collaboration,1265
hinauf,up,1265
si,si,1265
tokio,Tokyo,1264
sicherheitsdienst,security,1264
kaugummi,chewing gum,1263
weltkrieg,world war,1263
huren,whore,1263
foster,foster,1263
gemeinsamen,common,1262
garantieren,to guarantee,1262
wells,wells,1262
ln,ln,1262
antonio,antonio,1262
kommunizieren,communicate,1261
cm,cm,1261
marc,marc,1261
blieben,remained,1261
technisch,technically,1260
frühstücken,have breakfast,1259
ve,ve,1259
khan,khan,1259
billiger,cheaper,1258
elaine,elaine,1258
standort,Location,1258
wagt,dares,1258
leugnen,deny,1258
beißt,bites,1258
landung,landing,1258
ernste,serious,1257
schockiert,shocked,1257
esst,eat,1257
begleitung,accompaniment,1256
allianz,alliance,1256
vermutet,supposed,1255
echo,echo,1255
herstellen,produce,1255
lars,lars,1254
lokal,local,1254
sklave,slave,1254
honig,honey,1254
videos,videos,1253
verkehrt,wrong,1253
göttin,goddess,1253
segeln,sailing,1252
bewahrt,preserved,1252
cass,cass,1251
hinterließ,left behind,1250
ganzer,whole,1250
cody,cody,1250
doris,doris,1250
verurteilen,condemn,1250
höchsten,highest,1250
februar,February,1250
privaten,private,1249
burke,burke,1249
v,v,1249
begegnung,encounter,1249
steige,climb,1249
feuerwehr,fire Department,1249
apollo,Apollo,1248
beginne,begin,1248
ähnliches,something similar,1248
stevens,stevens,1247
grauen,gray,1247
wärter,guard,1247
gewann,won,1247
vertreter,representative,1247
starker,stronger,1246
liebend,loving,1246
marge,margin,1245
schoß,lap,1245
serviert,served,1245
heilig,holy,1245
bißchen,little,1245
security,security,1244
genaue,exact,1244
wally,wally,1243
gewaltig,immense,1243
knoten,node,1243
begriffen,understood,1242
klarstellen,clarify,1242
chwhite,chwhite,1242
hinrichtung,execution,1242
überwinden,overcome,1242
ablegen,lay down,1241
einfällt,incident,1241
wundert,wonders,1241
stimmte,voted,1241
drohen,threaten,1240
madison,madison,1240
entgehen,escape,1240
stundenlang,for hours,1240
hausmeister,facility manager,1239
helikopter,helicopter,1239
beverly,beverly,1239
puppen,dolls,1239
aussah,looked,1239
night,night,1238
beobachte,watching,1238
check,check,1238
juwelen,jewelery,1238
bogen,bow,1237
duft,fragrance,1237
ankam,arrived,1237
respektiert,respected,1237
non,non,1237
schein,bill,1237
gewehre,guns,1236
kellnerin,Waitress,1236
vertraulich,confidential,1236
insgesamt,a total of,1236
ächzen,groan,1236
untersuchungen,investigations,1235
fliegst,fly,1235
platt,flat,1235
aufrecht,upright,1234
geprüft,checked,1234
hammond,hammond,1234
bedient,operated,1234
mangel,defect,1234
hoher,higher,1233
knien,kneel,1232
hobby,hobby,1232
ling,ling,1232
ivan,ivan,1231
nachtisch,dessert,1231
kollegin,co-worker,1231
edwards,edwards,1231
alptraum,nightmare,1230
regina,regina,1230
ausgesehen,looked,1229
reichtum,wealth,1229
überaus,exceedingly,1229
eisen,iron,1229
beamen,beam,1229
haftbefehl,arrest warrant,1228
verletzte,injured,1228
buchstäblich,literally,1228
größter,largest,1228
sylvia,sylvia,1228
flieg,fly,1228
dreckige,dirty,1227
erfinden,to invent,1227
ernte,harvest,1227
